,views,likes,dislikes,comment_count,engagement_rate,like_ratio,title_length,title_word_count,tag_count,sentiment_score
views,1.0,0.787,0.414,0.499,-0.072,0.017,-0.055,-0.036,-0.008,-0.02
likes,0.787,1.0,0.453,0.776,0.084,0.075,-0.102,-0.093,-0.024,-0.002
dislikes,0.414,0.453,1.0,0.733,-0.003,-0.082,-0.037,-0.033,0.02,-0.018
comment_count,0.499,0.776,0.733,1.0,0.094,0.001,-0.076,-0.082,0.003,-0.013
engagement_rate,-0.072,0.084,-0.003,0.094,1.0,0.319,-0.253,-0.204,-0.032,0.004
like_ratio,0.017,0.075,-0.082,0.001,0.319,1.0,-0.159,-0.08,0.067,0.028
title_length,-0.055,-0.102,-0.037,-0.076,-0.253,-0.159,1.0,0.802,0.099,0.014
title_word_count,-0.036,-0.093,-0.033,-0.082,-0.204,-0.08,0.802,1.0,0.112,0.022
tag_count,-0.008,-0.024,0.02,0.003,-0.032,0.067,0.099,0.112,1.0,0.018
sentiment_score,-0.02,-0.002,-0.018,-0.013,0.004,0.028,0.014,0.022,0.018,1.0
