category,avg_like_ratio,avg_views,avg_engagement
Pets & Animals,0.968,769370.862,0.046
Music,0.958,8224924.011,0.049
Comedy,0.958,1095754.928,0.058
Howto & Style,0.957,699855.518,0.058
Education,0.95,588029.033,0.053
Travel & Events,0.942,624220.128,0.037
Gaming,0.939,1031163.224,0.056
Science & Technology,0.936,1438931.047,0.045
Entertainment,0.914,1601619.221,0.035
Film & Animation,0.911,2134198.732,0.034
Autos & Vehicles,0.908,629798.098,0.038
Sports,0.908,1136543.809,0.026
People & Blogs,0.894,951162.344,0.04
Nonprofits,0.861,2080093.77,0.045
Other,0.83,694731.643,0.014
News & Politics,0.821,429540.797,0.029
