title,channel_title,category,views,likes,comment_count,engagement_rate,like_ratio,sentiment,publish_country,published_day_of_week,publish_hour,title_length,tag_count
I TOOK A COMPATIBILITY TEST w/ MY SOUL MATE!,Gabbie Hanna,Howto & Style,1267850,72128,8151,0.0633,0.9619,neutral,US,Wednesday,23,44,12
TUTO DE MES STYLES PREFÃ‰RÃ‰S DE TURBAN ( FACILE ! ),Honey Shay,Entertainment,18526,2651,293,0.1589,0.9859,neutral,FRANCE,Wednesday,18,52,11
Bryson Tiller on being in a dark place after Trapsoul,TimWestwoodTV,Music,12316,292,43,0.0272,0.9799,neutral,GB,Tuesday,16,53,27
"$40 Gym Vs. $10,000 Gym",BuzzFeedBlue,People & Blogs,1533833,31892,2930,0.0227,0.9392,neutral,CANADA,Sunday,15,23,29
Dylan Farrow details her sexual assault allegations against Woody Allen,CBS This Morning,News & Politics,247334,1121,1144,0.0092,0.558,negative,GB,Thursday,13,71,7
Dog Cries Every Time He's Touched â€” Until He Meets This Woman | The Dodo,The Dodo,Pets & Animals,4623012,92059,14031,0.0229,0.9773,negative,US,Thursday,0,74,39
YOUTUBERS REACT TO YANNY or LAUREL,FBE,Entertainment,912491,27182,7334,0.0378,0.9753,neutral,CANADA,Tuesday,21,34,33
What Happens to Diesel Fuel in Liquid Nitrogen?,The King of Random,Education,412329,9161,3221,0.03,0.9501,neutral,CANADA,Sunday,15,47,47
True Facts : Carnivorous Plants,zefrank1,People & Blogs,1104272,75756,5354,0.0735,0.9918,positive,US,Monday,19,31,0
Doit-on etre propriÃ©taire de nos donnÃ©es personnelles ? - HS - Monsieur Bidouille,monsieur bidouille,Science & Technology,3611,530,60,0.1633,0.9962,neutral,FRANCE,Monday,17,83,13
BlocBoy JB & Drake Look Alive Prod By: Tay Keith (Official Music Video) Shot By: @Fredrivk_Ali,BlocBoy JB,Music,55280597,621708,37197,0.0119,0.9667,positive,GB,Friday,5,94,7
This Week in Stupid (14/01/2018),Sargon of Akkad,News & Politics,275517,17313,6097,0.085,0.9736,negative,CANADA,Sunday,19,32,5
Le BarÃ§a doit dÃ©graisser massivement | Journal du Mercato,Foot Mercato,Sports,85988,3860,372,0.0492,0.9854,neutral,FRANCE,Monday,17,59,10
Dimanche Tout Est Permis S01 Episode 10 26-11-2017 Partie 02,Elhiwar Ettounsi,Entertainment,71887,418,28,0.0062,0.869,negative,FRANCE,Monday,14,60,33
New Rule: Married to the Mob | Real Time with Bill Maher (HBO),Real Time with Bill Maher,Film & Animation,725442,14448,2142,0.0229,0.9604,neutral,CANADA,Saturday,4,62,18
MASSIVE Bowl of RAMEN NOODLES & Street Food Tour of Malaysia,Strictly Dumpling,Travel & Events,527444,11724,1146,0.0244,0.9732,neutral,CANADA,Monday,19,60,32
73 Questions With Sean â€œDiddyâ€ Combs | Vogue,Vogue,Entertainment,332847,9949,736,0.0321,0.9804,neutral,GB,Thursday,13,48,33
SOMMES NOUS MEILLEUR QUE: PAUL POGBA ? #Episode4,S3 Freestyle,Sports,91566,4796,726,0.0603,0.981,neutral,FRANCE,Monday,17,48,50
"FULL FACE FIRST IMPRESSIONS | TRYING $1,000 OF NEW MAKEUP!",jeffreestar,Howto & Style,1457429,125571,262658,0.2664,0.9938,positive,CANADA,Friday,19,58,20
UPGRADE (2018) â€“ Official Red Band Film Trailer,Blumhouse Productions,Entertainment,153264,3022,206,0.0211,0.9944,neutral,GB,Tuesday,17,49,22
Every Pixar Movie Reviewed in 10 Words or Less!,JelloApocalypse,Comedy,1999896,40753,7514,0.0241,0.8826,neutral,US,Friday,15,47,30
Tiny Donkey Thinks He's Actually A Dog  | The Dodo,The Dodo,Pets & Animals,1903668,66224,4155,0.037,0.9913,neutral,US,Friday,21,50,26
Post Malone - rockstar ft. 21 Savage,PostMaloneVEVO,Music,7558742,549729,58991,0.0805,0.9759,negative,CANADA,Wednesday,5,36,12
