category,total_videos,avg_views,avg_likes,avg_comments,avg_engagement,avg_like_ratio,total_views
Autos & Vehicles,1554,629798.1,9091.48,1617.56,0.04,0.91,978706245
Comedy,13401,1095754.93,51232.82,5077.23,0.06,0.96,14684211785
Education,3873,588029.03,24812.86,2792.57,0.05,0.95,2277436446
Entertainment,42358,1601619.22,42029.17,6173.73,0.03,0.91,67841386974
Film & Animation,9139,2134198.73,45502.74,5077.72,0.03,0.91,19504442209
Gaming,5408,1031163.22,39458.79,6216.75,0.06,0.94,5576530718
Howto & Style,10442,699855.52,26905.11,3888.92,0.06,0.96,7307891315
Music,27903,8224924.01,215087.75,17782.71,0.05,0.96,229500054675
News & Politics,11623,429540.8,7812.88,2287.01,0.03,0.82,4992552685
Nonprofits,335,2080093.77,165666.44,52396.18,0.05,0.86,696831413
Other,319,694731.64,9646.53,983.21,0.01,0.83,221619394
People & Blogs,15960,951162.34,28592.01,4035.98,0.04,0.89,15180551014
Pets & Animals,2060,769370.86,21759.84,2949.77,0.05,0.97,1584903976
Science & Technology,4876,1438931.05,36040.6,5363.94,0.05,0.94,7016227787
Sports,11210,1136543.81,24703.27,2987.08,0.03,0.91,12740656094
Travel & Events,1009,624220.13,10295.03,1726.0,0.04,0.94,629838109
