publish_hour,total_videos,avg_views,avg_engagement
0,4379,3184230.16,0.04
1,4250,2391696.71,0.04
2,3692,2174368.37,0.03
3,3555,2516083.2,0.03
4,4801,8104090.45,0.03
5,4984,7709740.52,0.04
6,2248,1595514.12,0.03
7,2578,2554513.68,0.03
8,3565,3135554.55,0.04
9,3947,3426069.5,0.05
10,3670,2562446.68,0.04
11,4331,2039020.86,0.04
12,5659,2674492.32,0.04
13,7523,2444250.49,0.04
14,9667,2575605.05,0.04
15,12495,2036592.29,0.05
16,16477,1664498.59,0.05
17,15135,1654790.76,0.05
18,10406,1433609.55,0.05
19,9385,1117467.36,0.05
20,8514,1655152.47,0.04
21,7999,1934818.38,0.04
22,7055,2393514.79,0.04
23,5155,2136029.87,0.04
