title,channel_title,category,views,likes,comment_count,engagement_rate
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,424538912,2818771,99380,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,413586699,2768654,97218,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,402650804,2719005,95713,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,392036878,2670723,93834,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,382401497,2618320,92387,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,372399338,2564815,90644,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,362111555,2506788,89066,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,349987176,2440754,86952,0.01
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,339629489,2378829,85095,0.01
"Te Bote Remix - Casper, Nio GarcÃ­a, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie,Music,337621571,2581961,113564,0.01
