title,source,category,url,published,sentiment,platform,fetch_time
How to get a refund on the Nintendo eShop - Nintendo Everything,Nintendoeverything.com,Technology,https://nintendoeverything.com/how-to-get-a-refund-on-the-nintendo-eshop/,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
Two First-Party Switch 2 Ratings Have Been Spotted - Nintendo Life,Nintendo Life,Technology,https://www.nintendolife.com/news/2026/04/two-first-party-switch-2-ratings-have-been-spotted,2026-04-12,positive,NewsAPI,2026-04-13 14:46
The $30 Google TV stick may be the budget Chromecast successor we've been waiting for - ZDNET,ZDNet,Technology,https://www.zdnet.com/home-and-office/home-entertainment/walmarts-4k-chromecast-replacement/,2026-04-12,positive,NewsAPI,2026-04-13 14:46
iPhone Fold’s Crease-Less Display Longevity Claims Will Be Scrutinized As OPPO Find N6’s Real-World Use Exposes Its Exaggerated Marketing - Wccftech,Wccftech,Technology,https://wccftech.com/iphone-fold-creaseless-display-longevity-claims-expose-by-oppo-find-n6/,2026-04-11,negative,NewsAPI,2026-04-13 14:46
Department 56 Reveals Disneyland Haunted Mansion Figure - WDW News Today,wdwnt.com,Technology,https://wdwnt.com/2026/04/department-56-reveals-disneyland-haunted-mansion-figure/,2026-04-11,negative,NewsAPI,2026-04-13 14:46
"Starfield Has a Serious Crashing Issue on PS5, PS5 Pro - Push Square",Push Square,Technology,https://www.pushsquare.com/news/2026/04/starfield-has-a-serious-crashing-issue-on-ps5-ps5-pro,2026-04-11,negative,NewsAPI,2026-04-13 14:46
PS5's PS Store Is Getting a Netflix-Style Makeover Soon - Push Square,Push Square,Technology,https://www.pushsquare.com/news/2026/04/ps5s-ps-store-is-getting-a-netflix-style-makeover-soon,2026-04-11,neutral,NewsAPI,2026-04-13 14:46
Samsung Galaxy Z Fold 8 launch date leaks - Mashable,Mashable,Technology,https://mashable.com/article/samsung-galaxy-z-fold-8-launch-date-leaked,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Samsung Confirms Bad Price News For Galaxy Phone Buyers - Forbes,Forbes,Technology,https://www.forbes.com/sites/jaymcgregor/2026/04/11/samsung-price-hike-galaxy-z-fold-7-galaxy-s25-2026/,2026-04-11,negative,NewsAPI,2026-04-13 14:46
"Mouse: P.I. for Hire details Nintendo Switch 2 frame rate, resolution - Nintendo Everything",Nintendoeverything.com,Technology,https://nintendoeverything.com/mouse-p-i-for-hire-details-nintendo-switch-2-frame-rate-resolution/,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Justin Bieber Undies On Stage -- Good Genes or Good Docs?! - TMZ,TMZ,Entertainment,https://www.tmz.com/2026/04/12/justin-bieber-good-genes-or-good-docs/,2026-04-12,positive,NewsAPI,2026-04-13 14:46
Sabrina Carpenter ignites debate over response to fan interrupting her Coachella set - The Independent,The-independent.com,Entertainment,https://www.the-independent.com/arts-entertainment/music/news/sabrina-carpenter-coachella-fan-interrupt-response-viral-b2956002.html,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
"Your lookahead horoscope: April 12, 2026 - The Globe and Mail",The Globe And Mail,Entertainment,https://www.theglobeandmail.com/life/horoscopes/article-your-lookahead-horoscope-april-12-2026/,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
Possible Date Revealed for El Grande Americano vs. El Verde Americano Mask vs. Mask Match - Ringside News,Ringside News,Entertainment,https://www.ringsidenews.com/possible-date-revealed-el-grande-americano-vs-el-verde-americano-mask-vs-mask-match/,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
Coachella stage closes after stage light falls on attendee - SFGATE,SFGate,Entertainment,https://www.sfgate.com/sf-culture/article/coachella-stage-light-falling-injury-22201392.php,2026-04-11,neutral,NewsAPI,2026-04-13 14:46
Justin Baldoni seeks to block Jenny Slate and Colleen Hoover evidence in Blake Lively trial - NBC News,NBC News,Entertainment,https://www.nbcnews.com/pop-culture/pop-culture-news/justin-baldoni-seeks-block-jenny-slate-colleen-hoover-evidence-blake-l-rcna301270,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Frankie Muniz Crashes NASCAR Truck as ‘Malcolm in the Middle’ Revival Premieres - The Hollywood Reporter,Hollywood Reporter,Entertainment,http://www.hollywoodreporter.com/news/general-news/frankie-muniz-crashes-nascar-truck-malcolm-in-the-middle-1236561877/,2026-04-11,positive,NewsAPI,2026-04-13 14:46
'DWTS' alum Hayley Erbert says her heart is 'breaking into a million pieces' after having first baby with Derek Hough - ew.com,Entertainment Weekly,Entertainment,https://ew.com/hayley-erbert-heart-breaking-after-having-first-baby-with-derek-hough-11948116,2026-04-11,positive,NewsAPI,2026-04-13 14:46
"Kylie Jenner's Coachella House Tour Has People Calling It ""Dystopian"" - Yahoo",Buzzfeed,Entertainment,https://www.buzzfeed.com/chelseastewart/kylie-jenner-coachella-house-tour?origin=bf-yahoo,2026-04-11,neutral,NewsAPI,2026-04-13 14:46
UFC 327: Ulberg wins light-heavyweight belt with knockout in front of Trump - Al Jazeera,Al Jazeera English,Sports,https://www.aljazeera.com/sports/2026/4/12/ufc-327-ulberg-wins-light-heavyweight-belt-with-knockout-in-front-of-trump,2026-04-12,positive,NewsAPI,2026-04-13 14:46
Avs coach Bednar taken to hospital after being hit by puck - ESPN,ESPN,Sports,https://www.espn.com/nhl/story/_/id/48463104/avs-coach-bednar-taken-hospital-being-hit-puck,2026-04-12,negative,NewsAPI,2026-04-13 14:46
"NBA playoff scenarios, regular season finale - NBA",Heat.com,Sports,https://www.nba.com/news/playoffs-scenarios-abound-for-final-sunday-of-nba-season,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
Denver holds off Wisconsin to win 11th NCAA championship at Frozen Four - NHL.com,NHL News,Sports,https://www.nhl.com/news/denver-defeats-wisconsin-to-win-11th-men-s-hockey-ncaa-championship,2026-04-12,positive,NewsAPI,2026-04-13 14:46
‘Best heavyweight fight I have ever seen’: Pros react to Josh Hokit’s insane brawl with Curtis Blaydes at UFC 327 - MMA Fighting,MMA Fighting,Sports,https://www.mmafighting.com/ufc/482143/best-heavyweight-fight-i-have-ever-seen-pros-react-to-josh-hokits-insane-brawl-with-curtis-blaydes-at-ufc-327,2026-04-12,negative,NewsAPI,2026-04-13 14:46
George Springer Exits Game Due To Left Toe Fracture - MLB Trade Rumors,MLB Trade Rumors,Sports,https://www.mlbtraderumors.com/2026/04/george-springer-exits-game-due-to-left-toe-fracture.html,2026-04-12,negative,NewsAPI,2026-04-13 14:46
Match Awards from Bayern Munich’s sound 5-0 victory over St. Pauli - Bavarian Football Works,Bavarian Football Works,Sports,https://www.bavarianfootballworks.com/bayern-munich-match-awards/187988/match-awards-from-bayern-munichs-sound-victory-over-st-pauli-bundesliga,2026-04-12,positive,NewsAPI,2026-04-13 14:46
Illini guard Keaton Wagler declares for NBA Draft - 247Sports,247Sports,Sports,https://247sports.com/college/illinois/article/fighting-illini-mens-basketball-guard-keaton-wagler-nba-draft-illinois-head-coach-brad-underwood-280673189/,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
Orioles Place Adley Rutschman On 10-Day Injured List; Select Maverick Handley - MLB Trade Rumors,MLB Trade Rumors,Sports,https://www.mlbtraderumors.com/2026/04/orioles-place-adley-rutschman-on-10-day-injured-list-select-maverick-handley.html,2026-04-12,negative,NewsAPI,2026-04-13 14:46
Cheers welcome Artemis II astronauts home after record-breaking trip - PBS,PBS,Science,https://www.pbs.org/newshour/science/cheers-welcome-artemis-ii-astronauts-home-after-record-breaking-trip,2026-04-11,positive,NewsAPI,2026-04-13 14:46
"Apes may have originated in north Afrida, study finds - The Jerusalem Post",The Jerusalem Post,Science,https://www.jpost.com/science/article-892308,2026-04-11,negative,NewsAPI,2026-04-13 14:46
The Universe's Most Pristine Ancient Star Is Surprisingly Close - ScienceAlert,ScienceAlert,Science,https://www.sciencealert.com/the-universes-most-pristine-ancient-star-is-surprisingly-close,2026-04-11,positive,NewsAPI,2026-04-13 14:46
6 mind-blowing space missions now set to launch after Artemis II - BBC Science Focus Magazine,BBC Focus Magazine,Science,https://www.sciencefocus.com/news/6-space-missions-2026,2026-04-11,positive,NewsAPI,2026-04-13 14:46
"Deep Inside Uranus and Neptune, Hydrogen Moves in Spiral Paths Unlike Anything Seen Before - The Daily Galaxy",The Daily Galaxy --Great Discoveries Channel,Science,https://dailygalaxy.com/2026/04/uranus-and-neptune-hydrogen-spiral-paths/,2026-04-11,negative,NewsAPI,2026-04-13 14:46
SpaceX launches huge 'Cygnus XL' cargo ship carrying over 5 tons of supplies to ISS astronauts (video) - Space,Space.com,Science,https://www.space.com/space-exploration/international-space-station/northrop-grumman-second-cygnus-xl-cargo-launch-spacex-iss,2026-04-11,positive,NewsAPI,2026-04-13 14:46
A 67-year-old “crazy” theory about vitamin B1 has finally been proven - ScienceDaily,Science Daily,Science,https://www.sciencedaily.com/releases/2026/04/260411081426.htm,2026-04-11,positive,NewsAPI,2026-04-13 14:46
James Webb Uncovers A Strange Galaxy That Could Finally Explain Cosmic “Little Red Dots” - The Daily Galaxy,The Daily Galaxy --Great Discoveries Channel,Science,https://dailygalaxy.com/2026/04/webb-galaxy-explain-cosmic-little-red-dots/,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Flight Path Data Shows How Mosquitoes Target Humans - WIRED,Wired,Science,https://www.wired.com/story/flight-path-data-shows-how-mosquitoes-target-humans/,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Commodity traders lost ‘billions’ in early days of Iran war - Financial Times,Financial Times,Business,https://www.ft.com/content/3baeeff3-8c7e-4fcd-b704-3ddde3abdbcc?syn-25a6b1a6\\u003d1,2026-04-12,negative,NewsAPI,2026-04-13 14:46
"An AI started and employed an entire store with $100,000. It screwed up with staffing on day one. - Business Insider",Business Insider,Business,https://www.businessinsider.com/andon-market-luna-ai-agent-managed-store-san-francisco-2026-4,2026-04-12,negative,NewsAPI,2026-04-13 14:46
The Netherlands is the first European country to approve Tesla’s supervised Full Self-Driving - The Verge,The Verge,Business,https://www.theverge.com/transportation/910717/netherlands-tesla-supervised-full-self-driving,2026-04-11,neutral,NewsAPI,2026-04-13 14:46
"Experimental Drug Can Reverse Osteoarthritis in Weeks, Animal Research Shows - ScienceAlert",ScienceAlert,Business,https://www.sciencealert.com/experimental-drug-can-reverse-osteoarthritis-in-weeks-animal-research-shows,2026-04-11,neutral,NewsAPI,2026-04-13 14:46
‘Close to midnight’: Alleged Sam Altman firebomber wrote of fears AI would end humanity - San Francisco Chronicle,San Francisco Chronicle,Business,https://www.sfchronicle.com/crime/article/sam-altman-openai-daniel-alejandro-moreno-gama-22201211.php,2026-04-11,negative,NewsAPI,2026-04-13 14:46
‘How Do We Make Sure That Claude Behaves Itself?’: Anthropic Invited 15 Christians for a Summit - Gizmodo,Gizmodo.com,Business,https://gizmodo.com/how-do-we-make-sure-that-claude-behaves-itself-anthropic-invited-15-christians-for-a-summit-2000743766,2026-04-11,positive,NewsAPI,2026-04-13 14:46
‘A big slap in the face’: San Francisco protesters rally at Philz over Pride flags - San Francisco Chronicle,San Francisco Chronicle,Business,https://www.sfchronicle.com/food/restaurants/article/san-francisco-philz-protest-pride-flags-22200366.php,2026-04-11,positive,NewsAPI,2026-04-13 14:46
AI use in housing is booming. The rules to keep it fair are shrinking. - Politico,Politico,Business,https://www.politico.com/news/2026/04/11/housing-lenders-ai-discrimination-disparate-impact-00864051,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Tribally owned gas stations offer cheaper fuel as Iran war drives up prices - PBS,PBS,Business,https://www.pbs.org/newshour/nation/tribally-owned-gas-stations-offer-cheaper-fuel-as-iran-war-drives-up-prices,2026-04-11,negative,NewsAPI,2026-04-13 14:46
"Trump name-drops Palantir by ticker symbol, 1st president to hype a stock. It surged $10B in minutes amid a 16% freefall - Yahoo Finance",Yahoo Entertainment,Business,https://finance.yahoo.com/markets/stocks/articles/trump-name-drops-palantir-ticker-154500129.html,2026-04-11,negative,NewsAPI,2026-04-13 14:46
I Used AI to Fight My Girlfriend’s Brain Tumor - The Free Press,Thefp.com,Health,https://www.thefp.com/p/i-used-ai-to-fight-my-girlfriends-tumor,2026-04-12,neutral,NewsAPI,2026-04-13 14:46
A New Study Found This Daily Habit May Help Slow Aging - AOL.com,GoodHousekeeping.com,Health,https://www.goodhousekeeping.com/health/wellness/a70941270/multivitamin-longevity-study/,2026-04-11,positive,NewsAPI,2026-04-13 14:46
Common drinking habit may quietly triple risk of advanced liver condition - AOL.com,Fox News,Health,https://www.foxnews.com/health/common-drinking-habit-may-quietly-triple-risk-advanced-liver-condition,2026-04-11,negative,NewsAPI,2026-04-13 14:46
